ep_count,ep_steps,total_steps,packages_lost,ep_reward,speed_mean,speed_max,BestLap,LapNo_0
202,248,79952,0,0.006846731320988831,0.0023020673126020776,0.008990217931568623,0.0,0.0
203,248,80202,0,0.00637845542272371,0.002143768327685745,0.008973962627351284,0.0,0.0
204,248,80452,0,0.005406772735708127,0.0018170006505604233,0.006830680649727583,0.0,0.0
205,248,80702,0,0.006807195955783416,0.002287589288874686,0.006720324512571096,0.0,0.0
206,248,80952,0,0.007499977219972278,0.002520433642325037,0.008538945578038692,0.0,0.0
207,388,81342,0,12.08863133056395,2.9191874439542533,17.185840606689453,0.0,0.0
208,470,81814,0,12.819984089235481,2.4524595786604357,13.385683059692383,0.0,0.0
209,362,82178,0,6.036367294001913,1.5539526927703122,11.939080238342285,0.0,0.0
210,424,82604,0,2.0311433746613266,0.4311702392780099,5.120364189147949,0.0,0.0
211,248,82854,0,0.13212286887846275,0.04449038199104947,0.7525449991226196,0.0,0.0
212,248,83104,0,0.0850368412852988,0.028605115046546767,0.9131306409835815,0.0,0.0
213,248,83354,0,0.07381753146829556,0.02482228458980136,0.8214405179023743,0.0,0.0
214,663,84019,0,2.006729890325416,0.270865308410837,4.955617427825928,0.0,0.0
215,389,84410,0,5.557255788223078,1.380283313108474,10.228521347045898,0.0,0.0
216,408,84820,0,8.813062505223435,1.9922458754157488,12.123706817626953,0.0,0.0
217,1109,85931,0,19.335617174716642,1.5896643374984512,5.970803737640381,0.0,0.0
218,948,86881,0,44.10612728334381,4.564808129894989,14.067651748657227,0.0,0.0
219,284,87167,0,48.20694917112836,19.104660217146453,31.088611602783203,0.0,0.0
220,248,87417,0,0.08452616910481679,0.02842857282690426,0.31786224246025085,0.0,0.0
221,834,88253,0,73.66606103542509,9.744510464937374,26.791919708251953,0.0,0.0
222,248,88503,0,0.0028471423746314396,0.0009567851718143615,0.0042003667913377285,0.0,0.0
223,248,88753,0,0.0028494089773909367,0.0009577887682656094,0.004148051142692566,0.0,0.0
224,248,89003,0,0.003160188275649891,0.00106218521006902,0.0035909167490899563,0.0,0.0
225,248,89253,0,0.005240681458310984,0.0017614658833824046,0.00394895114004612,0.0,0.0
226,248,89503,0,0.00518751981935379,0.0017431987045945848,0.003880825825035572,0.0,0.0
227,248,89753,0,0.005109466441011368,0.001717452097622182,0.0037924079224467278,0.0,0.0
228,248,90003,0,0.0045949884844369545,0.0015441498119123994,0.0036920735146850348,0.0,0.0
229,248,90253,0,0.00416226590300035,0.0013988437410350138,0.004890656564384699,0.0,0.0
230,248,90503,0,0.0033906742850097907,0.0011394849771022564,0.003982707392424345,0.0,0.0
231,248,90753,0,0.0046876754230627945,0.0015753344829840166,0.004061254672706127,0.0,0.0
232,248,91003,0,0.004565539047076954,0.0015345687196743037,0.005210441071540117,0.0,0.0
233,248,91253,0,0.0034571035368809247,0.0011618251143860811,0.004087049514055252,0.0,0.0
234,248,91503,0,0.0034389036068704797,0.0011557388452274608,0.005154790822416544,0.0,0.0
235,248,91753,0,0.003339357484658579,0.001122925421646693,0.004477490670979023,0.0,0.0
236,248,92003,0,0.0040347807424925605,0.0013564185045094833,0.004716400057077408,0.0,0.0
237,248,92253,0,0.0036616444110058157,0.0012315468335556592,0.005834805313497782,0.0,0.0
238,248,92503,0,0.004011656904720338,0.0013494786778004886,0.00481103640049696,0.0,0.0
239,248,92753,0,0.005029635223141741,0.001691606908171971,0.008272326551377773,0.0,0.0
240,248,93003,0,0.004830346749527809,0.001624444088989666,0.005427708849310875,0.0,0.0
241,248,93253,0,0.00514864843845724,0.0017315000520959016,0.0072525241412222385,0.0,0.0
242,248,93503,0,0.004682665823130134,0.0015746220093323274,0.007513903081417084,0.0,0.0
243,248,93753,0,0.00463228586026483,0.001557710424270725,0.007307002786546946,0.0,0.0
244,248,94003,0,0.004835445168280207,0.0016264268164260074,0.006764651276171207,0.0,0.0
245,248,94253,0,0.004714241829737538,0.0015852333325153355,0.005860980600118637,0.0,0.0
246,248,94503,0,0.004506075023364855,0.001515251908424562,0.004855622071772814,0.0,0.0
247,248,94753,0,0.044652496804092494,0.015011330042588885,0.38461756706237793,0.0,0.0
248,248,95003,0,0.030515654712853175,0.010256992268736095,0.2982387840747833,0.0,0.0
249,371,95376,0,4.019635940564581,1.6411504507459957,9.34518814086914,0.0,0.0
250,499,95877,0,78.30541743740994,18.072243184355163,30.821964263916016,0.0,0.0
251,567,96446,0,6.749503228520281,1.156452775068819,9.212888717651367,0.0,0.0
252,248,96696,0,0.009586920144789008,0.003222258729898209,0.011606893502175808,0.0,0.0
253,359,97057,0,2.0798387237259544,0.5195841015230855,2.4963696002960205,0.0,0.0
254,357,97416,0,7.10552576020579,1.888994102542359,10.88404369354248,0.0,0.0
255,348,97766,0,4.0384084907024524,1.1069628286597184,8.660860061645508,0.0,0.0
256,316,98084,0,2.2916376487119043,0.6409717542897806,5.525230884552002,0.0,0.0
257,1641,99727,0,40.859538328262836,2.612889619073834,4.995948314666748,0.0,0.0
258,337,100066,0,4.075660278384036,1.093940077241419,10.01358413696289,0.0,0.0
259,366,100434,0,5.579199375421645,1.386608872750788,7.8509016036987305,0.0,0.0
260,3029,103465,0,140.7915759580665,5.069845994397618,17.742687225341797,0.0,0.0
261,310,103777,0,2.6451182456998437,0.7927078777895076,8.668535232543945,0.0,0.0
262,87,103866,0,5.5595384920786,7.935016719704686,16.488067626953125,0.0,0.0
263,633,104501,0,81.1012434274067,13.673744165730765,26.699459075927734,0.0,0.0
264,248,104751,0,0.015540587887050204,0.0052244850727630925,0.019670775160193443,0.0,0.0
265,248,105001,0,0.01490735879906073,0.005011667175436272,0.02081185206770897,0.0,0.0
266,248,105251,0,0.013013250024763431,0.004374618721832972,0.022191829979419708,0.0,0.0
267,248,105501,0,0.013767675633335148,0.004630189527468305,0.020670033991336823,0.0,0.0
268,248,105751,0,0.013870600457294095,0.00466464781035733,0.01911896839737892,0.0,0.0
269,248,106001,0,0.015304843136208893,0.005148029058252559,0.01868380792438984,0.0,0.0
