ep_count,ep_steps,total_steps,packages_lost,ep_reward,speed_mean,speed_max,BestLap,LapNo_0,LapNo_1
411,2817,804010,0,1694.203131978081,51.04454013976278,73.71534729003906,0.0,114.321,114.479
412,2814,806826,0,1695.4637146842813,51.07535820074177,73.56188201904297,0.0,114.479,114.055
413,2818,809646,0,1694.7170388588784,51.00575280438047,74.08660888671875,0.0,114.54,114.055
414,2820,812468,0,1689.1260148571992,50.9594478369792,73.79786682128906,0.0,114.54,114.138
415,2820,815290,0,1694.9901336415728,50.98314058808874,73.7636489868164,0.0,114.138,114.651
416,2830,818122,0,1687.4414848281424,50.77129315069947,73.51042175292969,0.0,114.651,114.795
417,2821,820945,0,1695.2937948170652,50.94775163778611,73.98739624023438,0.0,114.795,114.466
418,2778,823725,0,1682.9854135960054,51.50373092133067,73.06969451904297,0.0,114.466,112.911
419,2824,826551,0,1690.7806242104984,50.91548064252063,72.65328979492188,0.0,112.911,114.11
420,2815,829368,0,1692.2978561176237,51.02879867917018,73.68099975585938,0.0,114.11,114.424
421,2801,832171,0,1685.3119912546533,51.10011806086303,73.8301010131836,0.0,113.63,114.424
422,2817,834990,0,1691.5700147427451,51.09849795651206,73.90670776367188,0.0,113.63,114.271
423,2781,837773,0,1683.2270947668235,51.348822659861135,73.52580261230469,0.0,114.271,113.001
424,2822,840597,0,1694.4894221730067,50.94190640704149,73.4020004272461,0.0,113.001,114.439
425,2816,843415,0,1696.7805924180557,51.04177812046453,73.10392761230469,0.0,114.439,114.071
426,2820,846237,0,1693.5746856612886,50.995406092135795,73.61215209960938,0.0,114.071,114.649
427,2833,849072,0,1691.1811294980228,50.736686955341206,73.9864730834961,0.0,114.649,114.963
428,2845,851919,0,1693.5699051316162,50.5284160482103,73.79653930664062,0.0,114.963,115.362
429,2821,854742,0,1692.5613596204319,50.9580142362434,73.76383972167969,0.0,114.588,115.362
430,2797,857541,0,1688.8285429259913,51.18885862666101,73.99390411376953,0.0,114.588,113.341
431,2816,860359,0,1689.3920562519663,51.06614562645134,73.7120361328125,0.0,113.341,114.233
432,2804,863165,0,1696.776001916512,51.260272286119765,73.68941497802734,0.0,114.233,114.248
